host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
bovin;5202710;"2008-12-03
2009-04-28
2009-11-23
2009-11-24
2017-02-13";ZOETIS SERVICES
bovin;5227592;31/05/2004;UNIVERSITY BEIJING
avian;5243670;22/07/2005;YANGZHOU UNIVERSITY
suin;5254692;03/11/2005;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
suin;5254695;03/11/2005;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;5254700;03/11/2005;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;5254718;14/11/2005;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;5256973;"2005-09-02
2006-01-24";BU ZHIGAO
avian;5262624;"2002-01-31
2003-01-29";ZEON
avian;5268701;15/08/2005;BEIJING ACADEMY OF AGRICULTURE & FORESTRY SCIENCES
avian_flu;5288802;"2005-10-18
2006-03-10
2006-05-15
2006-07-17
2006-07-21
2006-09-19
2006-10-18";NOVAVAX
avian_flu;5291654;29/11/2004;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;5303852;14/04/2005;YANGTZE UNIVERSITY
suin;5307248;17/06/2004;BOEHRINGER INGELHEIM VETMEDICA
avian_flu;5311631;"2005-10-28
2006-10-27";BOEHRINGER INGELHEIM VETMEDICA
avian_flu;5313677;09/05/2005;BIOTECHNOLOGY RESEARCH INSTITUTE THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES
avian_flu;5313677;09/05/2005;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian_flu;5313677;09/05/2005;SHENZHEN CITY AGRICULTURAL
bovin;5318986;"2005-12-07
2006-11-24";PAH USA 15
bovin;5323803;"2005-11-15
2006-11-13
2006-11-15";BOEHRINGER INGELHEIM VETMEDICA
avian;5326384;27/03/2006;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;5327960;25/04/2005;SHENLIAN BIOLOGICAL MEDICINE
avian_flu;5335371;"2005-12-07
2005-12-23
2006-04-20
2006-12-06
2011-04-19
2014-11-11";HEMISPHERX BIOPHARMA
avian;5339145;"2005-12-02
2006-05-22
2006-12-01
2016-03-03";ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI
avian_flu;5340878;19/05/2006;HUAKUODA ANIMAL SCIENTIFIC TECHNOLOGY
avian;5343527;09/05/2006;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian_flu;5344326;21/06/2005;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;5365592;"2004-12-22
2005-12-21";INTERVET INTERNATIONAL
mult_sp;5393570;21/12/2006;FUDAN UNIVERSITY
mult_sp;5400310;14/11/2006;GUANGZHOU JIAHE BIOTECHNOLOGY
avian_flu;5416667;09/11/2006;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;5444736;30/12/2005;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
suin;6374770;14/03/2007;CHINA ANIMAL DISEASE CONTROL CENTER
mult_sp;6381089;08/09/2006;CHINA INSTITUTE OF VETERINARY DRUGS CONTROL
